                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.68457,                 0.3856,                0.95232,                0.97626,                 0.9372,                0.97241,                 0.7239,                0.95733,                0.42322,                 1.0654,             0.00066154,             0.00066154,             0.00066154
                      2,                0.86148,                0.46796,                 1.0191,                0.97619,                0.93957,                0.96948,                0.69351,                 1.0231,                0.45926,                 1.0953,              0.0012625,              0.0012625,              0.0012625
                      3,                0.92288,                0.52018,                 1.0487,                0.97116,                0.92891,                0.97203,                0.68179,                 1.0413,                0.47717,                 1.1013,              0.0017974,              0.0017974,              0.0017974
                      4,                0.95186,                0.54305,                  1.068,                0.95612,                0.90361,                0.95442,                0.66205,                 1.0634,                0.51391,                 1.1142,               0.001703,               0.001703,               0.001703
                      5,                0.93501,                 0.5303,                  1.055,                0.94309,                0.92654,                0.96489,                0.68024,                 1.0389,                0.48672,                 1.0995,               0.001604,               0.001604,               0.001604
                      6,                 0.9265,                0.51322,                 1.0473,                0.95145,                0.92886,                0.96574,                0.68912,                 1.0247,                0.46835,                 1.0958,               0.001505,               0.001505,               0.001505
                      7,                0.92905,                0.51686,                 1.0514,                0.94669,                0.92587,                0.96463,                0.68663,                 1.0272,                0.47662,                 1.0974,               0.001406,               0.001406,               0.001406
                      8,                0.90977,                0.50586,                 1.0433,                0.95294,                0.93246,                 0.9669,                0.69323,                  1.013,                0.47678,                 1.0855,               0.001307,               0.001307,               0.001307
                      9,                0.90028,                0.49365,                 1.0357,                0.96656,                0.91943,                0.97085,                  0.695,                 1.0357,                0.46656,                 1.1011,               0.001208,               0.001208,               0.001208
                     10,                0.91714,                0.51227,                 1.0508,                0.95509,                 0.9323,                0.96879,                0.69926,                0.99125,                0.46199,                 1.0763,               0.001109,               0.001109,               0.001109
                     11,                0.85977,                0.45659,                 1.0202,                0.94005,                0.92896,                0.96576,                0.70151,                0.99068,                0.47608,                  1.084,                0.00101,                0.00101,                0.00101
                     12,                0.84288,                0.43978,                 1.0111,                0.96184,                0.92591,                 0.9707,                0.70951,                0.99446,                 0.4834,                 1.0802,               0.000911,               0.000911,               0.000911
                     13,                0.81585,                0.42054,                0.99747,                0.97216,                 0.9372,                0.97343,                0.72245,                0.97887,                0.45024,                 1.0711,               0.000812,               0.000812,               0.000812
                     14,                0.80792,                0.40791,                0.99637,                0.95208,                0.94194,                0.97124,                0.72463,                0.97102,                0.44981,                 1.0641,               0.000713,               0.000713,               0.000713
                     15,                0.79064,                0.40342,                0.98189,                0.96464,                0.93748,                0.97265,                 0.7279,                0.96987,                0.42977,                  1.075,               0.000614,               0.000614,               0.000614
                     16,                0.76945,                0.39078,                0.97554,                0.95637,                0.94668,                0.97472,                0.73245,                0.95457,                0.42022,                 1.0654,               0.000515,               0.000515,               0.000515
                     17,                0.75105,                0.38296,                0.96948,                0.97149,                0.94194,                0.97788,                0.74185,                0.93033,                0.40763,                 1.0571,               0.000416,               0.000416,               0.000416
                     18,                0.71964,                0.36796,                0.95381,                0.96703,                0.95024,                0.97519,                 0.7429,                0.93124,                0.40786,                 1.0525,               0.000317,               0.000317,               0.000317
                     19,                0.71252,                 0.3578,                0.94493,                0.97085,                0.94721,                0.97317,                0.75318,                0.91675,                0.40328,                 1.0448,               0.000218,               0.000218,               0.000218
                     20,                0.69226,                 0.3514,                0.94204,                0.97312,                0.94362,                0.97462,                0.75373,                0.90554,                0.39633,                 1.0458,               0.000119,               0.000119,               0.000119
